# Agent 2 Knowledge Log
# Format: time;event_type;knowledge
1004;ChangePet;{2: {'pet': 'Bear', 'house': 4, 'location': 4, 't': 1004}, 4: {'pet': 'Cat', 'house': 1, 'location': 4, 't': 1004}, 6: {'pet': 'Bear', 'house': 5, 'location': 4, 't': 766}, 5: {'pet': 'Zebra', 'house': 5, 'location': 4, 't': 892}, 3: {'pet': 'Fish', 'house': 3, 'location': 4, 't': 866}, 1: {'pet': 'Dog', 'house': 6, 'location': 1, 't': 898}}
1020;FinishTrip;{2: {'pet': 'Bear', 'house': 4, 'location': 4, 't': 1004}, 4: {'pet': 'Cat', 'house': 1, 'location': 4, 't': 1004}, 6: {'pet': 'Humpster', 'house': 2, 'location': 4, 't': 1020}, 5: {'pet': 'Zebra', 'house': 5, 'location': 4, 't': 892}, 3: {'pet': 'Fish', 'house': 3, 'location': 4, 't': 866}, 1: {'pet': 'Dog', 'house': 6, 'location': 1, 't': 898}}
1026;FinishTrip;{2: {'pet': 'Bear', 'house': 4, 'location': 4, 't': 1004}, 4: {'pet': 'Cat', 'house': 1, 'location': 1, 't': 1026}, 6: {'pet': 'Humpster', 'house': 2, 'location': 4, 't': 1020}, 5: {'pet': 'Zebra', 'house': 5, 'location': 4, 't': 892}, 3: {'pet': 'Fish', 'house': 3, 'location': 4, 't': 866}, 1: {'pet': 'Dog', 'house': 6, 'location': 1, 't': 898}}
1039;FinishTrip;{2: {'pet': 'Bear', 'house': 4, 'location': 4, 't': 1004}, 4: {'pet': 'Cat', 'house': 1, 'location': 1, 't': 1026}, 6: {'pet': 'Humpster', 'house': 2, 'location': 4, 't': 1020}, 5: {'pet': 'Zebra', 'house': 5, 'location': 4, 't': 892}, 3: {'pet': 'Fish', 'house': 3, 'location': 4, 't': 866}, 1: {'pet': 'Humpster', 'house': 2, 'location': 2, 't': 1039}}
1039;changeHouse;{2: {'pet': 'Bear', 'house': 2, 'location': 2, 't': 1039}, 4: {'pet': 'Cat', 'house': 1, 'location': 1, 't': 1026}, 6: {'pet': 'Humpster', 'house': 2, 'location': 4, 't': 1020}, 5: {'pet': 'Zebra', 'house': 5, 'location': 4, 't': 892}, 3: {'pet': 'Fish', 'house': 3, 'location': 4, 't': 866}, 1: {'pet': 'Humpster', 'house': 4, 'location': 2, 't': 1039}}
1040;FinishTrip;{2: {'pet': 'Bear', 'house': 2, 'location': 2, 't': 1039}, 4: {'pet': 'Cat', 'house': 1, 'location': 1, 't': 1026}, 6: {'pet': 'Humpster', 'house': 2, 'location': 4, 't': 1020}, 5: {'pet': 'Zebra', 'house': 5, 'location': 4, 't': 892}, 3: {'pet': 'Fish', 'house': 3, 'location': 4, 't': 866}, 1: {'pet': 'Humpster', 'house': 4, 'location': 4, 't': 1040}}
1096;FinishTrip;{2: {'pet': 'Bear', 'house': 2, 'location': 2, 't': 1039}, 4: {'pet': 'Cat', 'house': 4, 'location': 4, 't': 1096}, 6: {'pet': 'Humpster', 'house': 2, 'location': 4, 't': 1020}, 5: {'pet': 'Zebra', 'house': 5, 'location': 4, 't': 892}, 3: {'pet': 'Fish', 'house': 3, 'location': 4, 't': 866}, 1: {'pet': 'Humpster', 'house': 4, 'location': 4, 't': 1040}}
1096;changeHouse;{2: {'pet': 'Bear', 'house': 4, 'location': 4, 't': 1096}, 4: {'pet': 'Cat', 'house': 2, 'location': 4, 't': 1096}, 6: {'pet': 'Humpster', 'house': 2, 'location': 4, 't': 1020}, 5: {'pet': 'Zebra', 'house': 5, 'location': 4, 't': 892}, 3: {'pet': 'Fish', 'house': 3, 'location': 4, 't': 866}, 1: {'pet': 'Humpster', 'house': 4, 'location': 4, 't': 1040}}
1258;FinishTrip;{2: {'pet': 'Bear', 'house': 4, 'location': 4, 't': 1096}, 4: {'pet': 'Cat', 'house': 2, 'location': 4, 't': 1096}, 6: {'pet': 'Humpster', 'house': 5, 'location': 5, 't': 1258}, 5: {'pet': 'Zebra', 'house': 5, 'location': 4, 't': 892}, 3: {'pet': 'Fish', 'house': 3, 'location': 4, 't': 866}, 1: {'pet': 'Humpster', 'house': 4, 'location': 4, 't': 1040}}
1258;changeHouse;{2: {'pet': 'Bear', 'house': 5, 'location': 5, 't': 1258}, 4: {'pet': 'Cat', 'house': 2, 'location': 4, 't': 1096}, 6: {'pet': 'Humpster', 'house': 4, 'location': 5, 't': 1258}, 5: {'pet': 'Zebra', 'house': 5, 'location': 4, 't': 892}, 3: {'pet': 'Fish', 'house': 3, 'location': 4, 't': 866}, 1: {'pet': 'Humpster', 'house': 4, 'location': 4, 't': 1040}}
